function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_getopt	c:@F@p101_getopt	POSIX	libraries/lib_cli/src/cli.c	libraries/lib_cli/include/p101_cli/cli.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	getopt	c:@F@getopt
p101_getopt_long	c:@F@p101_getopt_long	common-Unix	libraries/lib_cli/src/cli.c	libraries/lib_cli/include/p101_cli/cli.h	libraries/lib_unix/src/getopt.c	libraries/lib_unix/include/p101_unix/p101_getopt.h	yes	yes	yes	getopt_long	c:@F@getopt_long
p101_getopt_long_only	c:@F@p101_getopt_long_only	common-Unix	libraries/lib_cli/src/cli.c	libraries/lib_cli/include/p101_cli/cli.h	libraries/lib_unix/src/getopt.c	libraries/lib_unix/include/p101_unix/p101_getopt.h	yes	yes	yes	getopt_long_only	c:@F@getopt_long_only
p101_getsubopt	c:@F@p101_getsubopt	POSIX	libraries/lib_cli/src/cli.c	libraries/lib_cli/include/p101_cli/cli.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h	yes	yes	yes	getsubopt	c:@F@getsubopt
